title,company,skills,skills_clean,cluster
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL","aartificial intelligence,data analytics,data science techniques,effective communication skills,generative ai,gpt,numpy,pandas,product management,python programming,sql",0
Machine Learning Physical Design Engineer,Google,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques","aartificial intelligence,algorithms,data structuring,design,machine learning techniques",1
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.","Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript","aartificial intelligence,analytical and problem solving,api,data analysis,database,design,effective communication skills,graphql,large language models - llms,next.js,python programming,react.js,teamwork,typescript",2
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","aartificial intelligence,api,data science techniques,design,effective communication skills,large language models - llms,python programming,teamwork",3
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.","Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","aartificial intelligence,api,data science techniques,design,effective communication skills,large language models - llms,python programming,teamwork",3
Data Scientist Lead - AIML,JPMorgan Chase,"Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming","aartificial intelligence,data science techniques,large language models - llms,machine learning techniques,natural language processing (nlp),python programming",4
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques","aartificial intelligence,aws,azure,google cloud platform (gcp),kubernetes-k8s,large language models - llms,machine learning techniques",5
Senior Product Designer,Observe.AI,"Design,Leadership Skill,Machine learning techniques","design,leadership skill,machine learning techniques",6
Manager - Machine Learning,Observe.AI,"Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)","aartificial intelligence,large language models - llms,machine learning techniques,natural language processing (nlp)",7
Data Scientist,Spotify,"Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL","amazon redshift,apache hadoop,data science techniques,google bigquery,google cloud platform (gcp),python programming,r programming,sql",8
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.","Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL","aartificial intelligence,data analytics,data science techniques,effective communication skills,generative ai,gpt,numpy,pandas,product management,python programming,sql",0
